employee_id,dept_id,role_id,band,salary_annual_inr,performance_2023,performance_2024,years_at_company,years_in_current_role,attrition,attrition_date,attrition_reason,promotion_last_2yrs,training_count_2024,training_hours_2024,job_satisfaction,work_life_balance,overtime_hours_monthly
EMP0033,D02,R09,E1,466221,5,5,9.32,0.57,No,,,No,2,18,3,3,10
EMP0034,D01,R02,E2,959463,3,2,6.62,3.44,Yes,2021-07-03,Relocation,No,2,12,4,4,7
EMP0035,D10,R06,E2,1008293,4,4,3.19,1.6,No,,,Yes,2,16,4,4,17
EMP0036,D10,R06,E2,827282,4,4,6.38,3.49,No,,,No,1,11,3,4,14
EMP0037,D05,R16,E2,1015644,3,3,1.45,0.98,No,,,No,4,24,3,4,6
EMP0038,D05,R16,E2,964799,3,4,8.64,0.69,Yes,2021-11-10,Compensation,No,1,7,3,2,15
EMP0039,D05,R07,E3,1586194,3,3,9.28,2.84,No,,,No,2,18,4,4,13
EMP0040,D01,R03,E3,1281257,4,4,4.31,0.79,No,,,Yes,1,7,3,2,15
EMP0041,D05,R06,E2,770408,4,5,5.48,3.68,Yes,2022-03-24,Work Life Balance,No,1,9,2,2,11
EMP0042,D06,R17,E1,456424,4,5,3.54,2.41,No,,,No,1,9,4,5,13
EMP0043,D07,R02,E2,1054429,5,5,8.87,0.85,No,,,No,1,9,5,4,8
EMP0044,D05,R16,E2,1178156,4,4,8.53,3.15,No,,,Yes,1,8,3,2,5
EMP0045,D07,R18,E2,666872,5,5,1.78,1.18,No,,,No,1,10,4,4,5
EMP0046,D01,R03,E3,2039998,2,2,9.21,0.52,No,,,No,2,10,3,3,10
EMP0047,D02,R11,M1,2020584,3,3,3.21,0.77,No,,,No,3,24,3,3,16
EMP0048,D01,R01,E1,434463,4,3,2.86,1.99,Yes,2023-04-16,Career Growth,No,3,27,4,4,5
EMP0049,D03,R12,E1,603717,4,5,7.52,2.12,No,,,No,2,22,4,5,9
EMP0050,D01,R03,E3,1562797,4,4,5.02,2.01,Yes,2022-12-09,Career Growth,No,1,6,4,3,4
EMP0051,D08,R03,E3,1292165,4,4,0.83,0.7,No,,,No,2,18,5,5,10
EMP0052,D09,R09,E1,538617,4,4,1.04,0.64,No,,,No,4,28,3,2,4
EMP0053,D07,R18,E2,609170,4,4,4.65,1.03,No,,,No,2,20,1,1,6
EMP0054,D03,R12,E1,443904,3,3,1.33,0.98,No,,,No,3,15,3,2,9
EMP0055,D02,R10,E2,1076620,3,3,9.77,3.5,No,,,No,3,30,2,1,6
EMP0056,D09,R09,E1,571292,4,4,8.51,3.63,No,,,No,3,33,5,5,14
EMP0057,D06,R06,E2,1014256,4,4,4.97,3.0,No,,,No,2,10,4,3,0
EMP0058,D02,R09,E1,334453,4,4,3.79,2.64,No,,,Yes,2,16,2,2,10
EMP0059,D01,R01,E1,477017,4,4,3.94,2.75,Yes,2022-02-16,Compensation,No,0,0,4,4,17
EMP0060,D08,R20,E4,2851440,2,2,5.14,2.46,No,,,No,1,7,2,2,12
EMP0061,D02,R10,E2,903800,5,5,1.46,0.64,No,,,No,1,6,3,3,3
EMP0062,D03,R12,E1,465909,3,4,9.99,1.3,No,,,No,2,16,3,4,3
EMP0063,D08,R03,E3,1129194,3,3,1.55,0.55,No,,,No,3,15,4,4,17
EMP0064,D10,R19,E4,2573620,1,1,1.7,0.93,No,,,No,2,18,4,5,7
EMP0065,D04,R14,E1,600433,4,4,6.96,1.8,No,,,No,2,16,5,5,9
EMP0066,D06,R17,E1,374578,5,5,1.48,1.08,No,,,No,2,14,4,4,16
EMP0067,D10,R06,E2,1091759,3,3,7.11,3.07,No,,,No,2,10,5,5,19
EMP0068,D07,R18,E2,688241,4,5,2.41,0.71,No,,,No,3,18,4,3,6
EMP0069,D07,R18,E2,668772,5,5,6.11,0.85,No,,,No,0,0,5,5,17
EMP0070,D03,R12,E1,414008,3,4,1.44,0.86,No,,,No,3,18,4,4,11
EMP0071,D09,R17,E1,552735,5,5,2.2,0.87,Yes,2023-06-18,Career Growth,No,4,32,1,1,9
EMP0072,D01,R01,E1,590654,4,4,2.09,1.01,Yes,2024-02-20,Compensation,Yes,1,7,4,3,12
EMP0073,D01,R02,E2,684277,3,3,0.76,0.61,No,,,No,2,22,5,5,16
EMP0074,D07,R02,E2,981425,4,4,2.23,1.4,No,,,No,4,24,2,2,5
EMP0075,D07,R18,E2,656331,4,4,4.84,1.51,No,,,No,4,32,4,4,7
EMP0076,D10,R03,E3,1761961,4,4,8.0,2.83,No,,,Yes,1,7,4,4,7
EMP0077,D06,R17,E1,635413,3,3,9.6,2.85,No,,,No,2,22,5,5,14
EMP0078,D03,R13,E3,1434764,4,4,5.44,0.57,No,,,No,1,5,5,5,10
EMP0079,D09,R10,E2,663079,4,4,7.04,2.63,No,,,No,3,15,3,4,17
EMP0080,D10,R07,E3,1101146,3,3,1.49,1.19,No,,,No,2,16,4,4,18
EMP0081,D08,R20,E4,2345575,3,2,6.85,2.1,No,,,No,1,6,4,3,11
EMP0082,D10,R07,E3,1737185,4,4,6.67,2.21,No,,,No,1,5,2,2,15
EMP0083,D02,R09,E1,535717,5,5,6.96,3.72,No,,,No,2,20,2,2,11
EMP0084,D04,R14,E1,447036,3,4,5.39,2.68,Yes,2022-08-24,Relocation,No,4,44,2,2,9
EMP0085,D09,R09,E1,487608,4,5,7.42,1.79,No,,,No,2,16,4,5,11
EMP0086,D08,R06,E2,780723,3,3,4.74,3.02,No,,,No,0,0,2,2,10
EMP0087,D06,R17,E1,406728,4,4,1.04,0.89,No,,,No,4,24,1,1,9
EMP0088,D01,R02,E2,1089124,3,3,9.72,0.5,No,,,No,3,33,2,2,3
EMP0089,D08,R07,E3,1704984,4,4,4.96,0.58,No,,,No,1,7,1,1,3
EMP0090,D02,R11,M1,2711624,5,5,1.31,0.83,No,,,No,1,6,4,5,3
EMP0091,D09,R10,E2,739631,3,3,5.11,2.14,No,,,No,0,0,4,5,5
EMP0092,D08,R20,E4,1918980,3,3,9.89,2.57,No,,,No,2,20,3,4,7
EMP0093,D06,R17,E1,592588,4,4,4.69,2.35,No,,,No,1,6,3,4,0
EMP0094,D01,R01,E1,436407,1,1,4.56,3.73,No,,,No,1,8,3,3,15
EMP0095,D01,R03,E3,1592305,4,4,1.81,1.26,No,,,No,3,33,4,4,16
EMP0096,D09,R09,E1,353362,3,4,7.36,2.29,No,,,No,1,9,3,3,11
EMP0097,D01,R02,E2,1186937,4,4,9.5,1.31,Yes,2019-04-11,Career Growth,Yes,2,16,5,5,0
EMP0098,D01,R04,E4,2901641,4,4,8.1,0.86,No,,,No,1,5,3,3,10
EMP0099,D10,R19,E4,2667482,2,2,8.42,0.74,No,,,No,1,6,4,4,16
EMP0100,D09,R10,E2,706879,3,3,5.22,3.91,No,,,No,2,16,5,5,13
EMP0101,D09,R17,E1,589400,4,4,1.71,1.06,No,,,No,1,5,3,3,11
EMP0102,D07,R18,E2,775804,3,3,6.55,3.29,No,,,No,1,11,2,2,11
EMP0103,D01,R01,E1,548199,2,1,1.66,1.25,No,,,No,2,10,5,5,14
EMP0104,D03,R13,E3,1584532,2,1,4.71,1.26,No,,,No,0,0,4,4,11
EMP0105,D06,R17,E1,451730,4,4,5.23,2.13,No,,,Yes,0,0,3,3,6
EMP0106,D05,R07,E3,1541650,4,4,1.5,0.97,No,,,No,1,5,4,4,0
EMP0107,D01,R02,E2,1189619,5,5,9.71,3.96,No,,,Yes,2,22,1,1,17
EMP0108,D05,R16,E2,1134610,4,4,3.98,2.48,No,,,No,5,40,3,3,6
EMP0109,D01,R05,M1,4304010,4,4,5.01,0.77,No,,,No,1,9,3,3,14
EMP0110,D06,R06,E2,772108,1,1,2.06,2.03,No,,,No,1,11,4,3,14
EMP0111,D10,R19,E4,2809094,5,5,5.87,2.03,No,,,No,0,0,2,1,9
EMP0112,D02,R10,E2,810143,4,4,4.02,2.45,Yes,2021-08-22,Better Opportunity,No,4,40,4,4,10
EMP0113,D03,R12,E1,660610,3,3,6.24,1.9,No,,,No,1,6,4,4,2
EMP0114,D07,R18,E2,687134,4,5,6.73,0.93,No,,,No,2,12,3,3,12
EMP0115,D02,R09,E1,478484,3,3,6.86,3.45,No,,,No,1,8,3,3,10
EMP0116,D03,R13,E3,1510882,4,3,4.25,1.78,No,,,No,2,18,1,1,0
EMP0117,D05,R16,E2,988804,5,5,5.49,1.0,No,,,No,3,33,4,4,14
EMP0118,D06,R17,E1,396009,3,3,2.51,1.48,No,,,No,0,0,4,4,8
EMP0119,D01,R02,E2,928050,4,4,6.57,3.6,No,,,No,1,8,5,5,11
EMP0120,D03,R12,E1,604713,3,3,9.73,3.6,No,,,No,5,25,5,5,13
EMP0121,D03,R06,E2,1019626,4,4,1.85,0.54,No,,,No,3,21,4,5,11
EMP0122,D09,R17,E1,589839,4,4,7.42,3.45,No,,,No,1,10,1,1,13
EMP0123,D07,R18,E2,903547,5,5,4.44,1.09,No,,,No,3,15,4,4,8
EMP0124,D02,R09,E1,391461,2,2,7.63,1.55,No,,,No,1,9,3,2,16
EMP0125,D02,R09,E1,388806,3,2,2.02,1.24,No,,,No,6,48,4,4,8
EMP0126,D07,R18,E2,661036,4,4,5.46,2.88,No,,,Yes,2,16,3,3,8
EMP0127,D07,R18,E2,694208,4,5,4.29,3.63,No,,,No,2,16,3,4,12
EMP0128,D10,R19,E4,2672982,2,2,5.39,1.64,Yes,2021-08-02,Work Life Balance,No,2,20,1,1,16
EMP0129,D01,R01,E1,541893,4,3,2.48,1.32,No,,,No,2,16,1,1,6
EMP0130,D07,R18,E2,850140,4,4,5.03,0.77,Yes,2022-08-06,Career Growth,Yes,3,24,5,5,13
EMP0131,D01,R06,E2,964269,4,4,6.83,2.43,No,,,No,3,30,4,4,8
EMP0132,D01,R03,E3,1651255,4,4,9.14,2.42,No,,,Yes,1,11,4,4,11
EMP0133,D02,R09,E1,522303,3,4,4.83,2.02,No,,,No,1,9,1,1,22
EMP0134,D08,R07,E3,1757020,4,4,8.44,3.03,No,,,No,3,18,4,4,23
EMP0135,D07,R18,E2,798308,3,3,6.77,2.87,No,,,No,4,40,5,4,13
EMP0136,D03,R13,E3,1942500,1,1,6.98,3.69,No,,,No,2,22,4,4,7
EMP0137,D09,R17,E1,560741,3,3,4.34,1.61,No,,,No,0,0,3,4,11
EMP0138,D09,R09,E1,523544,2,2,3.31,1.48,Yes,2022-05-06,Compensation,No,4,32,4,3,6
EMP0139,D04,R15,M1,2024870,1,1,3.97,0.82,No,,,No,3,15,4,3,10
EMP0140,D03,R06,E2,1113735,3,3,5.04,1.14,No,,,No,0,0,3,3,6
EMP0141,D09,R09,E1,597242,3,3,8.01,1.26,No,,,No,1,10,3,3,5
EMP0142,D01,R02,E2,970065,4,4,1.51,1.07,No,,,No,2,16,3,3,6
EMP0143,D01,R02,E2,785351,1,1,9.96,2.01,No,,,No,2,18,4,4,11
EMP0144,D02,R11,M1,3116801,2,1,3.93,1.52,Yes,2023-04-15,Compensation,No,5,25,5,5,0
EMP0145,D03,R12,E1,401500,1,1,0.74,0.63,No,,,No,4,28,3,3,15
EMP0146,D08,R07,E3,1687664,3,3,3.77,2.81,No,,,No,3,27,3,4,4
EMP0147,D01,R01,E1,560567,3,3,4.53,3.04,No,,,No,4,36,5,5,17
EMP0148,D03,R12,E1,730722,3,3,8.91,2.88,No,,,No,4,44,1,1,6
EMP0149,D02,R10,E2,714215,4,4,2.96,2.63,No,,,No,3,30,4,3,11
EMP0150,D02,R09,E1,511925,3,2,3.06,1.53,No,,,No,2,10,4,5,11
EMP0151,D04,R14,E1,437210,4,4,6.25,1.52,No,,,No,1,6,4,4,10
EMP0152,D06,R17,E1,369127,4,5,4.65,3.04,No,,,Yes,3,24,4,5,4
EMP0153,D01,R04,E4,2561103,4,5,4.38,3.06,No,,,No,2,22,5,5,3
EMP0154,D06,R17,E1,532304,5,5,2.85,2.34,No,,,No,7,77,3,2,18
EMP0155,D02,R09,E1,604523,4,4,4.79,3.9,No,,,Yes,1,8,5,5,15
EMP0156,D05,R06,E2,1006233,4,4,3.72,3.67,No,,,Yes,1,9,3,4,11
EMP0157,D03,R06,E2,940294,4,4,9.92,2.17,No,,,No,1,11,2,2,20
EMP0158,D01,R01,E1,423710,3,3,1.15,0.98,No,,,No,3,33,2,3,9
EMP0159,D01,R02,E2,932336,5,4,7.7,2.35,No,,,No,2,10,4,4,18
EMP0160,D02,R11,M1,2946652,5,5,3.99,1.49,No,,,No,0,0,5,5,14
EMP0161,D02,R11,M1,2441627,3,2,1.94,1.12,No,,,No,3,24,2,2,3
EMP0162,D07,R18,E2,828327,4,4,0.71,0.61,No,,,No,1,6,4,3,9
EMP0163,D01,R02,E2,1244514,4,4,9.57,3.01,No,,,No,3,30,4,3,23
EMP0164,D02,R10,E2,885662,5,5,7.91,3.32,No,,,No,5,30,3,3,7
EMP0165,D09,R10,E2,699125,2,2,1.46,0.84,No,,,No,0,0,2,3,11
EMP0166,D07,R18,E2,602130,3,3,3.26,2.63,No,,,No,2,18,5,4,4
EMP0167,D06,R17,E1,374247,3,3,9.02,1.78,Yes,2017-04-16,Compensation,No,4,20,2,2,6
EMP0168,D04,R14,E1,578021,2,3,7.24,2.74,No,,,No,3,15,4,4,10
EMP0169,D09,R17,E1,464144,3,3,1.34,0.94,Yes,2024-05-25,Work Life Balance,No,2,10,3,3,14
EMP0170,D04,R14,E1,369817,4,4,5.92,2.8,No,,,Yes,1,7,5,5,15
EMP0171,D07,R01,E1,373357,2,2,0.97,0.75,No,,,No,1,7,3,3,4
EMP0172,D02,R09,E1,603821,3,4,7.71,1.08,No,,,Yes,3,21,4,4,14
EMP0173,D06,R17,E1,601560,4,5,6.52,3.88,No,,,Yes,6,48,2,2,0
EMP0174,D08,R20,E4,2294375,3,3,7.98,3.05,No,,,No,4,36,4,4,2
EMP0175,D06,R17,E1,446709,3,3,7.36,1.24,No,,,No,0,0,3,3,14
EMP0176,D01,R01,E1,426493,4,4,6.55,1.09,No,,,Yes,1,11,2,3,4
EMP0177,D06,R17,E1,599520,3,3,9.98,1.33,No,,,No,0,0,5,5,6
EMP0178,D01,R02,E2,993611,4,5,7.9,2.08,No,,,No,2,20,4,4,10
EMP0179,D02,R09,E1,434487,4,5,2.47,1.96,No,,,No,4,20,3,3,9
EMP0180,D01,R02,E2,914351,4,3,4.19,2.53,No,,,No,1,8,4,3,0
EMP0181,D01,R01,E1,476824,3,3,4.56,2.09,No,,,No,5,25,5,4,14
EMP0182,D03,R12,E1,407032,5,5,3.55,1.73,No,,,No,6,36,4,4,5
EMP0183,D06,R17,E1,612998,3,3,6.87,0.77,No,,,No,3,33,2,2,1
EMP0184,D01,R01,E1,529742,5,5,9.11,3.47,No,,,Yes,1,8,4,4,15
EMP0185,D02,R09,E1,350657,4,4,2.87,1.26,No,,,No,1,8,5,5,7
EMP0186,D01,R02,E2,1025601,3,4,2.72,1.57,No,,,No,2,14,4,4,10
EMP0187,D01,R04,E4,2286677,3,3,8.59,1.77,Yes,2020-04-07,Compensation,No,0,0,2,2,12
EMP0188,D10,R06,E2,1044828,3,3,6.23,3.19,No,,,No,3,24,3,3,1
EMP0189,D02,R09,E1,482120,3,3,9.2,3.55,No,,,No,2,12,1,1,12
EMP0190,D08,R20,E4,2392803,4,4,1.34,1.11,No,,,No,1,6,4,4,18
EMP0191,D06,R17,E1,393454,3,3,9.82,2.61,No,,,No,3,21,3,3,6
EMP0192,D01,R02,E2,750443,2,2,5.56,3.92,No,,,No,6,42,3,3,19
EMP0193,D01,R02,E2,767451,2,2,2.54,0.83,No,,,No,3,15,5,4,16
EMP0194,D10,R07,E3,1524592,4,4,1.51,1.09,No,,,No,0,0,4,5,10
EMP0195,D06,R06,E2,836207,1,1,5.34,1.69,Yes,2022-02-13,Better Opportunity,No,2,14,1,1,1
EMP0196,D01,R01,E1,491865,3,3,6.1,1.57,No,,,No,3,27,4,4,11
EMP0197,D07,R18,E2,867410,5,5,3.23,0.8,No,,,No,1,5,4,3,5
EMP0198,D07,R18,E2,784372,5,5,8.9,3.68,Yes,2020-05-15,Compensation,No,1,8,4,4,11
EMP0199,D02,R09,E1,523601,5,4,8.76,1.34,No,,,No,6,54,4,5,8
EMP0200,D07,R18,E2,658861,2,3,7.36,3.71,No,,,No,3,15,4,3,13
EMP0201,D01,R02,E2,883183,3,3,6.46,3.83,No,,,No,3,30,4,4,18
EMP0202,D04,R14,E1,568421,3,3,1.02,0.86,No,,,No,1,5,4,5,9
EMP0203,D09,R17,E1,364298,3,3,3.57,0.67,No,,,No,2,18,3,3,7
EMP0204,D01,R02,E2,1055620,1,2,2.7,1.04,No,,,No,3,15,3,3,13
EMP0205,D02,R10,E2,927564,5,5,2.82,0.6,No,,,No,2,10,4,4,7
EMP0206,D03,R06,E2,886116,3,3,1.24,0.98,No,,,No,3,24,4,4,7
EMP0207,D08,R20,E4,1963473,3,3,3.94,1.72,Yes,2022-09-13,Work Life Balance,No,1,9,3,3,1
EMP0208,D09,R09,E1,461152,3,3,4.43,1.9,No,,,No,4,40,5,4,8
EMP0209,D01,R02,E2,866057,4,4,4.33,2.79,No,,,No,2,12,3,3,9
EMP0210,D01,R02,E2,994252,4,4,8.25,1.36,No,,,No,2,14,3,3,8
EMP0211,D10,R03,E3,1691203,4,5,8.19,3.1,No,,,No,6,36,4,4,12
EMP0212,D01,R04,E4,2099310,4,4,9.02,3.7,No,,,No,2,18,3,4,8
EMP0213,D10,R19,E4,2231492,3,3,6.01,0.83,No,,,No,2,16,1,1,20
EMP0214,D06,R17,E1,409441,4,5,1.16,0.77,No,,,No,2,14,4,3,10
EMP0215,D01,R02,E2,1139815,4,4,9.52,2.05,No,,,No,1,9,3,3,7
EMP0216,D02,R10,E2,788920,5,5,9.85,3.01,No,,,Yes,1,5,5,5,0
EMP0217,D01,R02,E2,1063846,3,3,0.83,0.77,No,,,No,3,33,2,2,4
EMP0218,D04,R15,M1,1730676,4,4,8.62,3.23,No,,,No,4,36,3,4,8
EMP0219,D02,R09,E1,354170,3,3,6.23,0.94,No,,,No,2,14,3,2,15
EMP0220,D01,R03,E3,1446429,3,2,1.8,1.12,No,,,No,2,12,4,5,8
EMP0221,D01,R02,E2,1195365,4,4,9.62,0.9,No,,,No,3,21,2,2,6
EMP0222,D05,R06,E2,704781,4,5,4.54,1.44,No,,,No,1,6,5,5,6
EMP0223,D01,R02,E2,852040,5,5,7.58,2.18,No,,,Yes,1,8,2,2,11
EMP0224,D03,R12,E1,576846,4,4,5.39,3.62,No,,,Yes,1,11,4,5,9
EMP0225,D01,R03,E3,2032364,4,5,8.24,1.18,No,,,Yes,2,22,2,2,14
EMP0226,D07,R18,E2,806211,3,4,4.42,2.35,No,,,No,3,27,1,1,6
EMP0227,D01,R04,E4,2355425,4,4,1.51,0.89,No,,,No,1,5,3,3,5
EMP0228,D03,R13,E3,1871197,2,2,9.1,3.58,No,,,No,2,14,5,5,15
EMP0229,D09,R09,E1,380612,3,3,6.67,3.23,No,,,No,1,5,3,2,16
EMP0230,D01,R08,E3,2143069,3,3,6.27,2.16,Yes,2023-01-30,Better Opportunity,No,1,10,4,3,5
EMP0231,D02,R09,E1,578927,3,3,8.92,1.05,No,,,No,3,15,4,5,3
EMP0232,D01,R02,E2,1026904,4,3,4.7,3.09,No,,,No,3,27,2,2,20
EMP0233,D01,R01,E1,597187,3,3,7.54,2.08,No,,,No,2,12,4,4,14
EMP0234,D01,R01,E1,615528,3,3,4.35,1.7,No,,,No,1,7,5,4,7
EMP0235,D05,R07,E3,1146567,3,3,5.07,3.51,Yes,2023-04-20,Better Opportunity,No,1,10,2,2,5
EMP0236,D01,R02,E2,854271,5,5,8.87,3.13,No,,,No,3,30,5,5,3
EMP0237,D01,R05,M1,4178114,4,4,6.47,3.53,No,,,No,2,12,4,5,10
EMP0238,D04,R14,E1,566485,2,2,5.31,2.66,Yes,2023-10-17,Career Growth,No,3,30,3,3,8
EMP0239,D05,R06,E2,987127,4,3,1.26,1.13,No,,,No,3,27,4,5,12
EMP0240,D01,R01,E1,624094,4,3,2.76,1.66,No,,,No,1,11,4,4,9
EMP0241,D02,R09,E1,363136,4,4,6.94,0.91,No,,,No,3,33,4,4,9
EMP0242,D10,R07,E3,1531426,4,4,3.37,0.58,No,,,No,0,0,3,3,10
EMP0243,D01,R03,E3,1173428,3,3,1.84,1.31,No,,,No,1,9,2,2,4
EMP0244,D07,R18,E2,661599,4,4,5.03,1.98,Yes,2022-08-07,Relocation,No,1,8,5,4,20
EMP0245,D08,R06,E2,656433,5,5,3.86,2.94,No,,,No,4,32,5,5,4
EMP0246,D09,R17,E1,398028,4,4,4.04,1.08,No,,,No,2,14,2,2,5
EMP0247,D08,R06,E2,945891,5,5,3.57,3.09,No,,,Yes,6,30,3,4,3
EMP0248,D05,R16,E2,1125635,5,5,9.63,0.56,No,,,No,2,16,5,5,10
EMP0249,D10,R19,E4,2098754,4,3,1.91,1.55,No,,,No,1,7,3,3,1
EMP0250,D05,R16,E2,1173354,3,3,7.52,2.59,No,,,No,3,21,3,3,0
EMP0251,D07,R02,E2,1087181,3,3,3.86,1.0,No,,,No,0,0,3,3,5
EMP0252,D06,R17,E1,500085,5,5,5.22,3.73,No,,,Yes,3,27,3,2,5
EMP0253,D06,R17,E1,602864,3,2,8.85,2.29,No,,,No,4,40,5,5,4
EMP0254,D07,R18,E2,789669,4,4,4.59,0.76,No,,,Yes,4,24,2,2,16
EMP0255,D03,R12,E1,468792,3,4,2.98,1.64,No,,,No,1,10,2,3,20
EMP0256,D09,R17,E1,421732,3,3,8.46,2.5,No,,,No,1,5,2,2,11
EMP0257,D01,R04,E4,2548641,2,3,1.08,0.87,No,,,No,3,21,4,4,3
EMP0258,D05,R07,E3,1926689,2,3,6.14,0.79,No,,,No,6,42,2,2,13
EMP0259,D06,R17,E1,617115,3,3,8.29,2.75,No,,,No,3,30,3,4,11
EMP0260,D09,R17,E1,354704,4,5,6.35,2.76,No,,,Yes,6,60,3,2,2
EMP0261,D04,R14,E1,425119,5,5,5.64,2.48,No,,,Yes,6,36,4,4,3
EMP0262,D01,R02,E2,899733,3,2,9.18,2.64,No,,,No,2,16,2,2,7
EMP0263,D09,R17,E1,443316,3,4,6.7,3.13,No,,,No,2,16,5,5,7
EMP0264,D07,R18,E2,701649,4,4,9.72,3.35,No,,,Yes,1,8,5,5,11
EMP0265,D03,R13,E3,1952219,4,4,8.01,3.37,No,,,No,1,9,4,4,10
EMP0266,D01,R01,E1,525743,3,3,7.37,3.32,No,,,No,4,32,5,4,16
EMP0267,D04,R14,E1,399298,4,5,1.51,1.22,No,,,No,2,16,3,3,9
EMP0268,D01,R01,E1,436329,3,3,1.2,0.53,No,,,No,3,27,5,5,9
EMP0269,D01,R05,M1,3331195,4,4,3.89,0.86,No,,,No,1,9,2,2,15
EMP0270,D03,R12,E1,397516,3,3,5.9,1.62,No,,,No,3,30,4,4,11
EMP0271,D01,R06,E2,914586,5,5,5.69,1.34,No,,,No,1,11,2,3,6
EMP0272,D08,R20,E4,2682737,1,1,6.51,3.87,No,,,No,0,0,4,4,2
EMP0273,D02,R09,E1,586508,4,4,7.0,2.57,Yes,2019-09-22,Compensation,No,0,0,1,1,13
EMP0274,D03,R13,E3,1343809,3,2,4.21,2.17,No,,,No,2,10,2,2,10
EMP0275,D01,R07,E3,1166058,4,4,2.51,2.29,No,,,No,5,25,4,4,12
EMP0276,D10,R03,E3,1575299,3,3,4.04,3.31,No,,,No,2,12,4,3,13
EMP0277,D06,R17,E1,383620,2,2,8.42,0.77,No,,,No,4,20,4,5,4
EMP0278,D02,R10,E2,626138,3,3,2.1,0.92,No,,,No,4,36,3,4,15
EMP0279,D09,R17,E1,492142,4,4,3.72,1.3,No,,,No,1,11,4,3,0
EMP0280,D01,R01,E1,525830,5,5,6.48,2.78,No,,,No,4,32,3,4,3
EMP0281,D08,R07,E3,1508571,2,2,0.83,0.81,No,,,No,0,0,3,3,14
EMP0282,D09,R09,E1,545247,5,5,8.27,1.54,No,,,No,2,10,2,2,1
EMP0283,D09,R17,E1,481787,3,3,7.28,3.96,No,,,No,1,10,4,4,2
EMP0284,D08,R03,E3,1522349,4,5,8.42,1.36,No,,,Yes,2,22,3,3,9
EMP0285,D01,R04,E4,2077883,1,1,2.5,1.19,No,,,No,3,30,3,4,15
EMP0286,D07,R02,E2,722235,3,3,2.55,0.63,No,,,No,3,15,4,4,12
EMP0287,D02,R09,E1,454690,1,1,6.04,1.12,No,,,No,3,24,2,1,0
