"employee_id","dept_id","role_id","band","salary_annual_inr","performance","years_at_company","attrition","attrition_date","attrition_reason","promotion","training_count","training_hours","job_satisfaction","work_life_balance","overtime_hours_monthly","working_years","attrition_check"
"EMP0118","D06","R17","E1","396009.00",3,"2 years 5 days","No",NULL,NULL,"No",0,0,4,4,8,"2",0
"EMP0119","D01","R02","E2","928050.00",4,"6 years 24 days","No",NULL,NULL,"No",1,8,5,5,11,"6",0
"EMP0120","D03","R12","E1","604713.00",3,"9 years 2 mons 24 days","No",NULL,NULL,"No",5,25,5,5,13,"9",0
"EMP0121","D03","R06","E2","1019626.00",4,"1 year 4 mons 5 days","No",NULL,NULL,"No",3,21,4,5,11,"1",0
"EMP0122","D09","R17","E1","589839.00",4,"6 years 11 mons 3 days","No",NULL,NULL,"No",1,10,1,1,13,"6",0
"EMP0123","D07","R18","E2","903547.00",5,"3 years 11 mons 9 days","No",NULL,NULL,"No",3,15,4,4,8,"3",0
"EMP0124","D02","R09","E1","391461.00",2,"7 years 1 mon 18 days","No",NULL,NULL,"No",1,9,3,2,16,"7",0
"EMP0125","D02","R09","E1","388806.00",2,"1 year 6 mons 9 days","No",NULL,NULL,"No",6,48,4,4,8,"1",0
"EMP0126","D07","R18","E2","661036.00",4,"4 years 11 mons 16 days","No",NULL,NULL,"Yes",2,16,3,3,8,"4",0
"EMP0127","D07","R18","E2","694208.00",5,"3 years 9 mons 17 days","No",NULL,NULL,"No",2,16,3,4,12,"3",0
"EMP0128","D10","R19","E4","2672982.00",2,"4 years 10 mons 20 days","Yes","2021-08-02","Work Life Balance","No",2,20,1,1,16,"4",1
"EMP0129","D01","R01","E1","541893.00",3,"1 year 11 mons 22 days","No",NULL,NULL,"No",2,16,1,1,6,"1",0
"EMP0130","D07","R18","E2","850140.00",4,"4 years 6 mons 13 days","Yes","2022-08-06","Career Growth","Yes",3,24,5,5,13,"4",1
"EMP0131","D01","R06","E2","964269.00",4,"6 years 3 mons 29 days","No",NULL,NULL,"No",3,30,4,4,8,"6",0
"EMP0132","D01","R03","E3","1651255.00",4,"8 years 7 mons 22 days","No",NULL,NULL,"Yes",1,11,4,4,11,"8",0
"EMP0133","D02","R09","E1","522303.00",4,"4 years 3 mons 29 days","No",NULL,NULL,"No",1,9,1,1,22,"4",0
"EMP0134","D08","R07","E3","1757020.00",4,"7 years 11 mons 9 days","No",NULL,NULL,"No",3,18,4,4,23,"7",0
"EMP0135","D07","R18","E2","798308.00",3,"6 years 3 mons 7 days","No",NULL,NULL,"No",4,40,5,4,13,"6",0
"EMP0136","D03","R13","E3","1942500.00",1,"6 years 5 mons 27 days","No",NULL,NULL,"No",2,22,4,4,7,"6",0
"EMP0137","D09","R17","E1","560741.00",3,"3 years 10 mons 6 days","No",NULL,NULL,"No",0,0,3,4,11,"3",0
"EMP0138","D09","R09","E1","523544.00",2,"2 years 9 mons 24 days","Yes","2022-05-06","Compensation","No",4,32,4,3,6,"2",1
"EMP0139","D04","R15","M1","2024870.00",1,"3 years 5 mons 22 days","No",NULL,NULL,"No",3,15,4,3,10,"3",0
"EMP0140","D03","R06","E2","1113735.00",3,"4 years 6 mons 15 days","No",NULL,NULL,"No",0,0,3,3,6,"4",0
"EMP0142","D01","R02","E2","970065.00",4,"1 year 2 days","No",NULL,NULL,"No",2,16,3,3,6,"1",0
"EMP0143","D01","R02","E2","785351.00",1,"9 years 5 mons 18 days","No",NULL,NULL,"No",2,18,4,4,11,"9",0
"EMP0144","D02","R11","M1","3116801.00",1,"3 years 5 mons 8 days","Yes","2023-04-15","Compensation","No",5,25,5,5,0,"3",1
"EMP0145","D03","R12","E1","401500.00",1,"2 mons 28 days","No",NULL,NULL,"No",4,28,3,3,15,"0",0
"EMP0146","D08","R07","E3","1687664.00",3,"3 years 3 mons 9 days","No",NULL,NULL,"No",3,27,3,4,4,"3",0
"EMP0147","D01","R01","E1","560567.00",3,"4 years 12 days","No",NULL,NULL,"No",4,36,5,5,17,"4",0
"EMP0148","D03","R12","E1","730722.00",3,"8 years 5 mons","No",NULL,NULL,"No",4,44,1,1,6,"8",0
"EMP0149","D02","R10","E2","714215.00",4,"2 years 5 mons 19 days","No",NULL,NULL,"No",3,30,4,3,11,"2",0
"EMP0141","D09","R09","E1","597242.00",3,"7 years 6 mons 6 days","No",NULL,NULL,"No",1,10,3,3,5,"7",0
"EMP0150","D02","R09","E1","511925.00",2,"2 years 6 mons 23 days","No",NULL,NULL,"No",2,10,4,5,11,"2",0
"EMP0151","D04","R14","E1","437210.00",4,"5 years 9 mons 2 days","No",NULL,NULL,"No",1,6,4,4,10,"5",0
"EMP0152","D06","R17","E1","369127.00",5,"4 years 1 mon 25 days","No",NULL,NULL,"Yes",3,24,4,5,4,"4",0
"EMP0153","D01","R04","E4","2561103.00",5,"3 years 10 mons 17 days","No",NULL,NULL,"No",2,22,5,5,3,"3",0
"EMP0154","D06","R17","E1","532304.00",5,"2 years 4 mons 7 days","No",NULL,NULL,"No",7,77,3,2,18,"2",0
"EMP0155","D02","R09","E1","604523.00",4,"4 years 3 mons 16 days","No",NULL,NULL,"Yes",1,8,5,5,15,"4",0
"EMP0156","D05","R06","E2","1006233.00",4,"3 years 2 mons 20 days","No",NULL,NULL,"Yes",1,9,3,4,11,"3",0
"EMP0157","D03","R06","E2","940294.00",4,"9 years 5 mons 3 days","No",NULL,NULL,"No",1,11,2,2,20,"9",0
"EMP0158","D01","R01","E1","423710.00",3,"7 mons 25 days","No",NULL,NULL,"No",3,33,2,3,9,"0",0
"EMP0159","D01","R02","E2","932336.00",4,"7 years 2 mons 12 days","No",NULL,NULL,"No",2,10,4,4,18,"7",0
"EMP0160","D02","R11","M1","2946652.00",5,"3 years 5 mons 30 days","No",NULL,NULL,"No",0,0,5,5,14,"3",0
"EMP0161","D02","R11","M1","2441627.00",2,"1 year 5 mons 12 days","No",NULL,NULL,"No",3,24,2,2,3,"1",0
"EMP0162","D07","R18","E2","828327.00",4,"2 mons 15 days","No",NULL,NULL,"No",1,6,4,3,9,"0",0
"EMP0163","D01","R02","E2","1244514.00",4,"9 years 26 days","No",NULL,NULL,"No",3,30,4,3,23,"9",0
"EMP0164","D02","R10","E2","885662.00",5,"7 years 4 mons 27 days","No",NULL,NULL,"No",5,30,3,3,7,"7",0
"EMP0165","D09","R10","E2","699125.00",2,"11 mons 17 days","No",NULL,NULL,"No",0,0,2,3,11,"0",0
"EMP0010","D04","R14","E1","525388.00",5,"2 years 10 mons 28 days","No",NULL,NULL,"No",3,24,5,5,13,"2",0
"EMP0166","D07","R18","E2","602130.00",3,"2 years 9 mons 3 days","No",NULL,NULL,"No",2,18,5,4,4,"2",0
"EMP0167","D06","R17","E1","374247.00",3,"8 years 6 mons 10 days","Yes","2017-04-16","Compensation","No",4,20,2,2,6,"8",1
"EMP0168","D04","R14","E1","578021.00",3,"6 years 8 mons 29 days","No",NULL,NULL,"No",3,15,4,4,10,"6",0
"EMP0169","D09","R17","E1","464144.00",3,"10 mons 4 days","Yes","2024-05-25","Work Life Balance","No",2,10,3,3,14,"0",1
"EMP0170","D04","R14","E1","369817.00",4,"5 years 5 mons 5 days","No",NULL,NULL,"Yes",1,7,5,5,15,"5",0
"EMP0171","D07","R01","E1","373357.00",2,"5 mons 21 days","No",NULL,NULL,"No",1,7,3,3,4,"0",0
"EMP0172","D02","R09","E1","603821.00",4,"7 years 2 mons 16 days","No",NULL,NULL,"Yes",3,21,4,4,14,"7",0
"EMP0173","D06","R17","E1","601560.00",5,"6 years 9 days","No",NULL,NULL,"Yes",6,48,2,2,0,"6",0
"EMP0174","D08","R20","E4","2294375.00",3,"7 years 5 mons 24 days","No",NULL,NULL,"No",4,36,4,4,2,"7",0
"EMP0175","D06","R17","E1","446709.00",3,"6 years 10 mons 12 days","No",NULL,NULL,"No",0,0,3,3,14,"6",0
"EMP0176","D01","R01","E1","426493.00",4,"6 years 17 days","No",NULL,NULL,"Yes",1,11,2,3,4,"6",0
"EMP0177","D06","R17","E1","599520.00",3,"9 years 5 mons 25 days","No",NULL,NULL,"No",0,0,5,5,6,"9",0
"EMP0178","D01","R02","E2","993611.00",5,"7 years 4 mons 23 days","No",NULL,NULL,"No",2,20,4,4,10,"7",0
"EMP0179","D02","R09","E1","434487.00",5,"1 year 11 mons 21 days","No",NULL,NULL,"No",4,20,3,3,9,"1",0
"EMP0180","D01","R02","E2","914351.00",3,"3 years 8 mons 11 days","No",NULL,NULL,"No",1,8,4,3,0,"3",0
"EMP0181","D01","R01","E1","476824.00",3,"4 years 22 days","No",NULL,NULL,"No",5,25,5,4,14,"4",0
"EMP0182","D03","R12","E1","407032.00",5,"3 years 18 days","No",NULL,NULL,"No",6,36,4,4,5,"3",0
"EMP0183","D06","R17","E1","612998.00",3,"6 years 4 mons 15 days","No",NULL,NULL,"No",3,33,2,2,1,"6",0
"EMP0184","D01","R01","E1","529742.00",5,"8 years 7 mons 10 days","No",NULL,NULL,"Yes",1,8,4,4,15,"8",0
"EMP0185","D02","R09","E1","350657.00",4,"2 years 4 mons 14 days","No",NULL,NULL,"No",1,8,5,5,7,"2",0
"EMP0186","D01","R02","E2","1025601.00",4,"2 years 2 mons 18 days","No",NULL,NULL,"No",2,14,4,4,10,"2",0
"EMP0187","D01","R04","E4","2286677.00",3,"8 years 1 mon 5 days","Yes","2020-04-07","Compensation","No",0,0,2,2,12,"8",1
"EMP0188","D10","R06","E2","1044828.00",3,"5 years 8 mons 26 days","No",NULL,NULL,"No",3,24,3,3,1,"5",0
"EMP0189","D02","R09","E1","482120.00",3,"8 years 8 mons 13 days","No",NULL,NULL,"No",2,12,1,1,12,"8",0
"EMP0190","D08","R20","E4","2392803.00",4,"10 mons 4 days","No",NULL,NULL,"No",1,6,4,4,18,"0",0
"EMP0191","D06","R17","E1","393454.00",3,"9 years 3 mons 25 days","No",NULL,NULL,"No",3,21,3,3,6,"9",0
"EMP0192","D01","R02","E2","750443.00",2,"5 years 21 days","No",NULL,NULL,"No",6,42,3,3,19,"5",0
"EMP0193","D01","R02","E2","767451.00",2,"2 years 13 days","No",NULL,NULL,"No",3,15,5,4,16,"2",0
"EMP0194","D10","R07","E3","1524592.00",4,"1 year 4 days","No",NULL,NULL,"No",0,0,4,5,10,"1",0
"EMP0195","D06","R06","E2","836207.00",1,"4 years 10 mons 5 days","Yes","2022-02-13","Better Opportunity","No",2,14,1,1,1,"4",1
"EMP0196","D01","R01","E1","491865.00",3,"5 years 7 mons 8 days","No",NULL,NULL,"No",3,27,4,4,11,"5",0
"EMP0197","D07","R18","E2","867410.00",5,"2 years 8 mons 23 days","No",NULL,NULL,"No",1,5,4,3,5,"2",0
"EMP0198","D07","R18","E2","784372.00",5,"8 years 4 mons 25 days","Yes","2020-05-15","Compensation","No",1,8,4,4,11,"8",1
"EMP0199","D02","R09","E1","523601.00",4,"8 years 3 mons 6 days","No",NULL,NULL,"No",6,54,4,5,8,"8",0
"EMP0200","D07","R18","E2","658861.00",3,"6 years 10 mons 10 days","No",NULL,NULL,"No",3,15,4,3,13,"6",0
"EMP0201","D01","R02","E2","883183.00",3,"5 years 11 mons 17 days","No",NULL,NULL,"No",3,30,4,4,18,"5",0
"EMP0202","D04","R14","E1","568421.00",3,"6 mons 9 days","No",NULL,NULL,"No",1,5,4,5,9,"0",0
"EMP0203","D09","R17","E1","364298.00",3,"3 years 25 days","No",NULL,NULL,"No",2,18,3,3,7,"3",0
"EMP0204","D01","R02","E2","1055620.00",2,"2 years 2 mons 13 days","No",NULL,NULL,"No",3,15,3,3,13,"2",0
"EMP0205","D02","R10","E2","927564.00",5,"2 years 3 mons 25 days","No",NULL,NULL,"No",2,10,4,4,7,"2",0
"EMP0206","D03","R06","E2","886116.00",3,"8 mons 27 days","No",NULL,NULL,"No",3,24,4,4,7,"0",0
"EMP0207","D08","R20","E4","1963473.00",3,"3 years 5 mons 12 days","Yes","2022-09-13","Work Life Balance","No",1,9,3,3,1,"3",1
"EMP0208","D09","R09","E1","461152.00",3,"3 years 11 mons 5 days","No",NULL,NULL,"No",4,40,5,4,8,"3",0
"EMP0209","D01","R02","E2","866057.00",4,"3 years 9 mons 29 days","No",NULL,NULL,"No",2,12,3,3,9,"3",0
"EMP0210","D01","R02","E2","994252.00",4,"7 years 9 mons 1 day","No",NULL,NULL,"No",2,14,3,3,8,"7",0
"EMP0211","D10","R03","E3","1691203.00",5,"7 years 8 mons 12 days","No",NULL,NULL,"No",6,36,4,4,12,"7",0
"EMP0212","D01","R04","E4","2099310.00",4,"8 years 6 mons 8 days","No",NULL,NULL,"No",2,18,3,4,8,"8",0
"EMP0213","D10","R19","E4","2231492.00",3,"5 years 6 mons 5 days","No",NULL,NULL,"No",2,16,1,1,20,"5",0
"EMP0215","D01","R02","E2","1139815.00",4,"9 years 8 days","No",NULL,NULL,"No",1,9,3,3,7,"9",0
"EMP0216","D02","R10","E2","788920.00",5,"9 years 4 mons 4 days","No",NULL,NULL,"Yes",1,5,5,5,0,"9",0
"EMP0217","D01","R02","E2","1063846.00",3,"3 mons 29 days","No",NULL,NULL,"No",3,33,2,2,4,"0",0
"EMP0218","D04","R15","M1","1730676.00",4,"8 years 1 mon 14 days","No",NULL,NULL,"No",4,36,3,4,8,"8",0
"EMP0227","D01","R04","E4","2355425.00",4,"1 year 2 days","No",NULL,NULL,"No",1,5,3,3,5,"1",0
"EMP0219","D02","R09","E1","354170.00",3,"5 years 8 mons 23 days","No",NULL,NULL,"No",2,14,3,2,15,"5",0
"EMP0220","D01","R03","E3","1446429.00",2,"1 year 3 mons 19 days","No",NULL,NULL,"No",2,12,4,5,8,"1",0
"EMP0221","D01","R02","E2","1195365.00",4,"9 years 1 mon 13 days","No",NULL,NULL,"No",3,21,2,2,6,"9",0
"EMP0222","D05","R06","E2","704781.00",5,"4 years 15 days","No",NULL,NULL,"No",1,6,5,5,6,"4",0
"EMP0223","D01","R02","E2","852040.00",5,"7 years 29 days","No",NULL,NULL,"Yes",1,8,2,2,11,"7",0
"EMP0224","D03","R12","E1","576846.00",4,"4 years 10 mons 21 days","No",NULL,NULL,"Yes",1,11,4,5,9,"4",0
"EMP0225","D01","R03","E3","2032364.00",5,"7 years 8 mons 29 days","No",NULL,NULL,"Yes",2,22,2,2,14,"7",0
"EMP0226","D07","R18","E2","806211.00",4,"3 years 11 mons 2 days","No",NULL,NULL,"No",3,27,1,1,6,"3",0
"EMP0228","D03","R13","E3","1871197.00",2,"8 years 7 mons 5 days","No",NULL,NULL,"No",2,14,5,5,15,"8",0
"EMP0229","D09","R09","E1","380612.00",3,"6 years 2 mons 3 days","No",NULL,NULL,"No",1,5,3,2,16,"6",0
"EMP0230","D01","R08","E3","2143069.00",3,"5 years 9 mons 9 days","Yes","2023-01-30","Better Opportunity","No",1,10,4,3,5,"5",1
"EMP0231","D02","R09","E1","578927.00",3,"8 years 5 mons 3 days","No",NULL,NULL,"No",3,15,4,5,3,"8",0
"EMP0232","D01","R02","E2","1026904.00",3,"4 years 2 mons 13 days","No",NULL,NULL,"No",3,27,2,2,20,"4",0
"EMP0233","D01","R01","E1","597187.00",3,"7 years 15 days","No",NULL,NULL,"No",2,12,4,4,14,"7",0
"EMP0234","D01","R01","E1","615528.00",3,"3 years 10 mons 9 days","No",NULL,NULL,"No",1,7,5,4,7,"3",0
